Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
10-01-2023,42.05,43.5,42,43.3,42.76,42051,132,1798240,42051,100,1.5,1.25
09-01-2023,42.5,44.1,42,42.8,43.79,183502,330,8035421,183502,100,2.1,0.3
06-01-2023,41.2,43.5,41.2,42,42.53,55040,204,2341063,55040,100,2.3,0.8
05-01-2023,40.95,42.8,40.95,42.2,42.03,65213,216,2740711,65213,100,1.85,1.25
04-01-2023,41.8,42.75,40.75,40.9,41.59,37935,202,1577728,37935,100,2,-0.9
03-01-2023,39.3,41.25,39.3,41.25,40.81,67619,249,2759453,67619,100,1.95,1.95
02-01-2023,38.7,39.45,38.2,39.3,38.54,88125,205,3396572,88125,100,1.25,0.6
30-12-2022,38.5,38.5,38.1,38.1,38.24,96804,193,3701744,96804,100,0.4,-0.4
29-12-2022,38.05,39,37.8,38.45,38.42,133175,250,5116407,133175,100,1.2,0.4
28-12-2022,40.5,40.5,38.65,39.1,39.46,84984,274,3353269,84984,100,1.85,-1.4
27-12-2022,42.5,42.5,40.55,40.6,40.93,104162,374,4263395,104162,100,1.95,-1.9
26-12-2022,40,43.2,39.7,42.65,41.95,52423,237,2198919,52423,100,3.5,2.65
23-12-2022,43.6,43.6,41.65,41.75,41.81,120116,334,5022622,120116,100,1.95,-1.85
22-12-2022,42.35,44.4,40.25,43.8,41.77,175660,462,7337261,175660,100,4.15,1.45
21-12-2022,44.75,45.45,41.55,42.35,43.77,118856,390,5202686,118856,100,3.9,-2.4
20-12-2022,43.4,43.65,41.55,43.65,43.3,69976,266,3030093,69976,100,2.1,0.25
19-12-2022,42.15,43,41,41.6,41.84,53712,279,2247055,53712,100,2,-0.55
16-12-2022,44.05,44.8,42,42.65,42.76,72763,295,3111041,72763,100,2.8,-1.4
15-12-2022,45.5,45.65,44,44,44.56,65432,255,2915372,65432,100,1.65,-1.5
14-12-2022,46.8,46.85,44.15,44.85,45.75,96368,321,4409293,96368,100,2.7,-1.95
13-12-2022,44.45,45.75,44,45.75,45.56,168053,270,7657093,168053,100,1.75,1.3
12-12-2022,43.05,44.5,41.95,43.6,42.48,235946,566,10022749,235946,100,2.55,0.55
09-12-2022,46,46.05,43.6,44.15,44.18,230615,688,10188143,230615,100,2.45,-1.85
08-12-2022,47.6,47.6,45.25,45.85,46.07,116524,518,5368191,116524,100,2.35,-1.75
07-12-2022,50.85,50.85,47.6,47.6,47.75,202695,667,9679009,202695,100,3.25,-3.25
06-12-2022,53,53,49.2,50.1,51.31,174493,631,8953630,174493,100,3.8,-2.9
05-12-2022,52.1,54.4,49.25,51.7,52.26,471175,1635,24622116,311455,66.1,5.15,-0.4
02-12-2022,48,51.7,47.3,51.35,50.09,586747,1789,29391333,392265,66.85,4.4,3.35
01-12-2022,43.85,47.15,43,47.15,46.52,755586,1576,35153626,481155,63.68,4.15,3.3
30-11-2022,44.6,46.9,40.6,42.9,43.19,506661,1332,21882864,303708,59.94,6.3,-1.7
29-11-2022,49,49.7,43.8,45.1,46.07,621310,1860,28624796,388636,62.55,5.9,-3.9
28-11-2022,42,48.8,42,48.65,47.2,1553113,3493,73307615,1041522,67.06,6.8,6.65
25-11-2022,40.25,42,39.15,40.7,41.26,415484,1182,17142877,271656,65.38,2.85,0.45
24-11-2022,35.4,40.7,35.4,39.6,38.68,721771,2228,27920775,480445,66.56,5.3,4.2
23-11-2022,32.25,34.9,32.25,34.15,34.17,154720,477,5286499,122334,79.07,2.65,1.9
22-11-2022,31.1,32.8,31.1,32.5,31.94,35767,177,1142271,29222,81.7,1.7,1.4
21-11-2022,32,32.8,30.8,31.05,31.84,69567,245,2214817,44946,64.61,2,-0.95
18-11-2022,32.8,33,31.05,32.1,31.9,67527,212,2154062,,,1.95,-0.7
17-11-2022,34.95,35,32.1,32.75,33.79,108196,377,3655737,81876,75.67,2.9,-2.2
16-11-2022,35.4,35.9,32.8,33.55,34.58,234941,656,8123487,173398,73.8,3.1,-1.85
15-11-2022,33.2,36,33.2,34.25,34.69,294398,783,10211528,227617,77.32,2.8,1.05
14-11-2022,32.75,34.85,32,33.2,33.94,105805,389,3591448,84587,79.95,2.85,0.45
11-11-2022,32.2,34.7,32.2,32.55,33.53,324174,732,10869728,232274,71.65,2.5,0.35
10-11-2022,29.45,32.55,28.75,32.2,31.35,352088,656,11037243,293924,83.48,3.8,2.75
09-11-2022,29,29.9,28.75,28.9,29.2,95630,192,2792067,74679,78.09,1.15,-0.1
07-11-2022,30.5,30.5,28.7,29.5,29.64,64815,185,1920957,42836,66.09,1.8,-1
04-11-2022,29.95,30.95,28.7,30.25,29.93,51506,167,1541656,43811,85.06,2.25,0.3
03-11-2022,29.9,29.95,29.2,29.45,29.54,40571,107,1198350,32326,79.68,0.75,-0.45
02-11-2022,30.3,30.3,29.3,30,29.82,53133,135,1584250,45339,85.33,1,-0.3
01-11-2022,30.1,30.5,29.1,29.9,29.65,36777,159,1090473,27771,75.51,1.4,-0.2
31-10-2022,29.3,30.25,29.15,29.9,29.9,93216,259,2787080,75517,81.01,1.1,0.6
28-10-2022,28.4,31,27.6,29.9,29.59,171485,298,5074226,156397,91.2,3.4,1.5
27-10-2022,29,29,28.35,28.4,28.53,12648,96,360858,11225,88.75,0.65,-0.6
25-10-2022,28.5,28.9,28.1,28.65,28.53,31171,111,889301,23408,75.1,0.8,0.15
24-10-2022,29.45,29.45,28.1,28.95,28.93,65849,182,1905336,,,1.35,-0.5
21-10-2022,27.9,28.5,27.4,28.35,28.18,79391,251,2237630,67846,85.46,1.1,0.45
20-10-2022,27.5,28.25,27.2,27.7,27.95,58633,167,1638601,55533,94.71,1.05,0.2
19-10-2022,27,28.5,27,27.5,27.74,81014,191,2246935,61767,76.24,1.5,0.5
18-10-2022,27.2,28,26.4,27.6,27.39,81316,248,2227535,51498,63.33,1.6,0.4
17-10-2022,26.5,28.9,26.1,27.7,27.9,62689,270,1749289,48490,77.35,2.8,1.2
14-10-2022,26.45,26.6,25.15,26.5,26,72064,189,1873855,55470,76.97,1.45,0.05
13-10-2022,26.35,26.5,25.6,26.25,26.09,12971,93,338458,11371,87.66,0.9,-0.1
12-10-2022,26.95,27.5,25.5,26.05,26.1,44100,188,1151117,32146,72.89,2,-0.9
11-10-2022,26.55,28.1,26.5,26.65,27.26,50228,174,1369147,37852,75.36,1.6,0.1
10-10-2022,27.5,27.8,26.15,27.05,27.13,24830,150,673521,17686,71.23,1.65,-0.45
07-10-2022,28.45,28.5,23.1,27.25,26.36,182457,497,4809346,115872,63.51,5.4,-1.2
06-10-2022,28.4,28.5,27.15,27.95,27.74,47130,242,1307414,28838,61.19,1.35,-0.45
04-10-2022,25.8,28.4,24.75,27.55,26.65,67730,351,1805040,48127,71.06,3.65,1.75
03-10-2022,24,25.7,24,25.2,24.64,74776,271,1842513,61224,81.88,1.7,1.2
30-09-2022,24.6,25.55,23.45,24.45,24.52,140793,363,3451681,107519,76.37,2.1,-0.15
29-09-2022,25.3,25.95,24.3,24.6,24.96,115631,257,2885592,89602,77.49,1.65,-0.7
28-09-2022,26.3,26.3,24.5,24.85,25.06,99728,247,2499235,90448,90.69,1.8,-1.45
27-09-2022,26.7,27.5,25.55,26,26.68,25803,169,688408,15959,61.85,1.95,-0.7
26-09-2022,27.8,27.8,25.1,26.05,26.05,87920,264,2290242,,,2.7,-1.75
23-09-2022,27.45,27.65,26.45,26.8,26.79,46453,150,1244287,37235,80.16,1.2,-0.65
22-09-2022,27.4,28,27,27.25,27.44,41953,155,1151346,32837,78.27,1,-0.15
21-09-2022,28,28.5,27.6,27.85,27.95,77373,189,2162875,65047,84.07,0.9,-0.15
20-09-2022,28.1,28.9,27.65,27.85,27.97,30310,164,847697,25674,84.7,1.25,-0.25
19-09-2022,27.85,28.7,27.65,28,28.21,79765,174,2250225,66527,83.4,1.05,0.15
16-09-2022,28.6,30,27.55,27.85,28.58,127843,341,3653567,99370,77.73,2.45,-0.75
15-09-2022,29.55,31,28.65,28.9,29.54,85315,305,2519846,65524,76.8,2.35,-0.65
14-09-2022,28.7,29.7,28,29.55,28.82,165229,348,4761618,128877,78,1.7,0.85
13-09-2022,28.95,29.2,28.25,29.05,28.91,126244,255,3650135,108353,85.83,0.95,0.1
12-09-2022,28.7,29.5,28.45,28.6,28.91,100907,293,2917530,84710,83.95,1.05,-0.1
09-09-2022,29.5,29.55,28.75,28.85,29.06,26118,119,758977,,,0.8,-0.65
08-09-2022,29.5,29.5,28.75,29.15,29.13,83458,200,2431258,66718,79.94,0.75,-0.35
07-09-2022,29.85,30.25,29,29.45,29.49,76141,281,2245667,51245,67.3,1.25,-0.4
06-09-2022,29.85,30.45,29,29.7,29.43,69493,199,2044994,54327,78.18,1.45,-0.15
05-09-2022,28.9,30.4,27.85,29.85,28.91,217495,393,6287143,182463,83.89,2.55,0.95
02-09-2022,29.25,29.3,28.3,28.65,28.72,56432,221,1620800,50491,89.47,1,-0.6
01-09-2022,29.4,29.9,28.8,29.2,29.32,50370,213,1476827,42642,84.66,1.1,-0.2
30-08-2022,30.25,30.75,29.25,29.55,29.97,49502,186,1483537,38286,77.34,1.5,-0.7
29-08-2022,29.85,31.4,28.6,29.65,29.86,115615,452,3452163,74141,64.13,2.8,-0.2
26-08-2022,30.75,31.45,29.55,30.1,30.42,51010,234,1551692,37223,72.97,1.9,-0.65
25-08-2022,31,32,29.75,30.1,31.02,98317,311,3050283,73855,75.12,2.25,-0.9
24-08-2022,31.7,32.4,30.5,30.85,31.46,120748,324,3798758,95741,79.29,1.9,-0.85
23-08-2022,28.5,32.4,28.5,31.7,31.03,359531,760,11157663,288638,80.28,3.9,3.2
22-08-2022,30.45,30.45,28,28.35,29.39,162325,360,4770396,138727,85.46,2.45,-2.1
19-08-2022,32.65,32.65,30,30.45,30.65,161855,332,4960924,133383,82.41,2.65,-2.2
18-08-2022,30.25,32.2,30.25,31.85,31.13,353535,594,11006760,,,1.95,1.6
17-08-2022,29.4,30.9,28.6,29.8,29.95,106250,267,3182524,92104,86.69,2.3,0.4
16-08-2022,29.25,29.5,28.6,29.1,29.23,21894,129,639891,17469,79.79,0.9,-0.15
12-08-2022,29.25,30,28.5,28.8,29.03,41891,182,1216263,32022,76.44,1.5,-0.45
11-08-2022,30,30.45,28.2,28.9,29.28,117270,232,3433989,109917,93.73,2.25,-1.1
10-08-2022,28.6,31.45,28.6,29.7,30.39,129691,348,3940988,106277,81.95,2.85,1.1
08-08-2022,28.5,31,27.7,30.05,29.9,245394,479,7337338,213883,87.16,3.3,1.55
05-08-2022,28.95,30.5,28.15,28.5,29.25,73889,245,2161436,52807,71.47,2.35,-0.45
04-08-2022,28.95,29.5,27.5,28.7,28.45,93687,262,2665192,76687,81.85,2,-0.25
03-08-2022,26.6,31.6,26.1,28.95,29.26,315769,810,9238766,238382,75.49,5.5,2.35
02-08-2022,27.95,27.95,25.25,26.35,26.21,155669,434,4080408,103320,66.37,2.7,-1.6
01-08-2022,27.5,28.7,26.2,27.6,27.94,51399,200,1435932,41291,80.33,2.5,0.1
29-07-2022,28.35,28.9,27.3,27.7,28.3,90962,190,2574191,78270,86.05,1.6,-0.65
28-07-2022,28,29.6,27.7,27.9,28.53,56281,210,1605824,40564,72.07,1.9,-0.1
27-07-2022,27.7,29,27.05,27.75,28.26,42598,248,1203687,27478,64.51,1.95,0.05
26-07-2022,29.45,29.45,27.5,27.7,28.1,48610,213,1365944,35019,72.04,1.95,-1.75
25-07-2022,25.75,31.4,25.75,29.25,29.05,332779,813,9667259,214641,64.5,5.65,3.5
22-07-2022,27.8,27.8,26,26.2,26.74,128466,442,3435443,96020,74.74,1.8,-1.6
21-07-2022,23.55,28.2,23.25,28.1,27.35,578585,1153,15824773,449788,77.74,4.95,4.55
20-07-2022,24,24.65,23.15,23.5,23.88,63643,176,1519876,52025,81.74,1.5,-0.5
19-07-2022,24.25,24.5,23.4,23.85,23.98,22946,125,550317,16300,71.04,1.1,-0.4
18-07-2022,23.3,24.2,23.3,24.05,23.84,15094,86,359896,11055,73.24,0.9,0.75
15-07-2022,24,24.95,23.25,23.55,23.99,43397,159,1040886,29546,68.08,1.7,-0.45
14-07-2022,24.5,25,23.1,23.85,24.14,36673,162,885110,25041,68.28,1.9,-0.65
13-07-2022,23.55,24.5,23.3,24.35,24.08,26490,148,637845,18522,69.92,1.2,0.8
12-07-2022,23.8,24.15,23.45,23.7,23.79,23815,119,566522,16131,67.73,0.7,-0.1
11-07-2022,23.5,24,22.8,23.55,23.5,18636,150,437960,12114,65,1.2,0.05
08-07-2022,24.2,24.4,23.25,23.3,23.78,15164,80,360611,10272,67.74,1.15,-0.9
07-07-2022,23.8,24.45,23.55,23.95,23.84,26605,120,634299,22206,83.47,0.9,0.15
06-07-2022,22.75,23.85,22.75,23.55,23.48,48753,88,1144602,43587,89.4,1.1,0.8
05-07-2022,23.9,23.9,22.9,23.25,23.46,29584,131,694133,18081,61.12,1,-0.65
04-07-2022,23.7,24,23.55,23.95,23.79,24773,122,589328,17317,69.9,0.45,0.25
01-07-2022,24.9,24.9,23.7,23.85,24.04,12416,89,298542,9323,75.09,1.2,-1.05
30-06-2022,24,25.45,22.7,24.6,24.52,92122,297,2258613,69081,74.99,2.75,0.6
29-06-2022,22.4,24.8,21.7,23.65,23.02,72505,232,1668938,55463,76.5,3.1,1.25
28-06-2022,22.7,22.7,21.8,22.4,22.15,12316,71,272823,10962,89.01,0.9,-0.3
27-06-2022,22.45,22.8,21.6,22.5,22.45,14870,104,333830,12154,81.74,1.2,0.05
24-06-2022,21.95,22.65,21.3,21.7,22.03,21194,115,466865,15026,70.9,1.35,-0.25
23-06-2022,21.6,21.75,21.5,21.65,21.7,9939,68,215700,9087,91.43,0.25,0.05
22-06-2022,21.75,21.75,20.6,21.3,21.12,24302,127,513151,17585,72.36,1.15,-0.45
21-06-2022,21.5,22,21.4,21.85,21.76,43535,130,947283,36822,84.58,0.6,0.35
20-06-2022,23,23.6,20.75,21.35,21.77,41847,151,911179,30577,73.07,2.85,-1.65
17-06-2022,20.8,23,20.3,22.5,21.92,69727,301,1528730,54273,77.84,2.7,1.7
16-06-2022,23.65,24,20.2,20.95,21.7,153582,354,3333018,128237,83.5,3.8,-2.7
15-06-2022,23.5,23.75,23.1,23.65,23.47,18016,85,422806,12824,71.18,0.65,0.15
14-06-2022,23,23.75,22.5,23.35,23.2,39150,175,908451,29759,76.01,1.25,0.35
13-06-2022,23.9,24.5,23,23.2,23.46,54577,219,1280517,36075,66.1,1.5,-0.7
10-06-2022,24,24.6,23.85,24,24.23,24783,101,600370,20094,81.08,0.75,0
09-06-2022,23.8,25.3,23.2,24.65,24.37,36725,179,895136,25822,70.31,2.1,0.85
08-06-2022,24,24.3,23.5,23.8,23.67,14661,107,346958,10163,69.32,0.8,-0.2
07-06-2022,25.35,25.35,23.75,24,24.05,51388,183,1235766,44150,85.91,1.6,-1.35
06-06-2022,23.55,26.1,23.55,24.8,25.08,44354,201,1112437,31842,71.79,2.55,1.25
03-06-2022,24.2,24.85,23.25,23.75,24.03,52259,166,1255881,42104,80.57,1.6,-0.45
02-06-2022,24.5,24.95,23.8,24,24.21,75667,176,1831579,65127,86.07,1.15,-0.5
01-06-2022,24.45,25,23.75,24.6,24.53,36608,166,897993,27095,74.01,1.25,0.15
31-05-2022,24,24.85,23.15,24.45,24.4,38282,123,934258,30005,78.38,1.7,0.45
30-05-2022,24.95,24.95,23.5,23.9,24.04,28816,134,692655,22796,79.11,1.45,-1.05
27-05-2022,23.9,24.55,23.4,24.45,24.26,27366,118,663916,18032,65.89,1.15,0.55
26-05-2022,23,23.75,22.3,23.65,22.95,96831,209,2222680,78695,81.27,1.45,0.65
25-05-2022,24.8,25,23,23.35,23.92,98635,430,2359472,72605,73.61,2,-1.45
24-05-2022,26.5,27,24.35,24.45,25.19,85113,333,2144289,64319,75.57,2.65,-2.05
23-05-2022,26.5,27.8,25.75,27.05,26.94,63923,196,1722167,47231,73.89,2.05,0.55
20-05-2022,25.95,26.9,25.95,26.1,26.36,32964,150,868865,22363,67.84,0.95,0.15
19-05-2022,25.55,26.5,25.5,25.85,25.9,32667,151,846197,25873,79.2,1,0.3
18-05-2022,25.4,27.4,25.4,26.55,26.58,80660,315,2143637,58624,72.68,2,1.15
17-05-2022,25.75,26.25,24.9,25.15,25.32,69128,183,1750270,44703,64.67,1.35,-0.6
16-05-2022,24.6,25.4,23.8,25.3,25.02,24197,133,605432,17046,70.45,1.6,0.7
13-05-2022,23.8,25.25,23.8,24.2,24.33,37355,203,908839,29190,78.14,1.45,0.4
12-05-2022,22.9,23.7,21.5,23.2,22.63,130601,287,2955494,101266,77.54,2.2,0.3
11-05-2022,24.4,24.7,22.5,23.35,23.66,111254,299,2631998,81878,73.6,2.2,-1.05
10-05-2022,25,26.25,24,24.25,25.01,109756,274,2744980,85706,78.09,2.25,-0.75
09-05-2022,26.3,26.9,25,25.25,25.45,144822,330,3685360,105911,73.13,1.9,-1.05
06-05-2022,27.9,27.9,26,26.85,26.85,71594,237,1922607,50649,70.74,1.9,-1.05
05-05-2022,28.95,28.95,27.2,28,28.39,39347,142,1117090,28990,73.68,1.75,-0.95
04-05-2022,29.85,29.85,28.25,28.4,28.9,32933,155,951657,25771,78.25,1.6,-1.45
02-05-2022,29,29.85,28.65,29.35,29.47,27807,131,819467,20144,72.44,1.2,0.35
29-04-2022,29.25,30,29.05,29.35,29.52,30879,181,911515,19770,64.02,0.95,0.1
28-04-2022,30.4,30.4,29.05,29.4,29.51,60803,192,1794105,43368,71.33,1.35,-1
27-04-2022,31,31,29,29.4,29.72,89222,269,2652036,77034,86.34,2,-1.6
26-04-2022,30.9,31.1,30.1,30.55,30.86,60781,173,1875517,49812,81.95,1,-0.35
25-04-2022,30,31.75,29.5,30,30.53,166690,410,5088215,133026,79.8,2.25,0
22-04-2022,31.4,31.9,30,30.7,30.76,84480,286,2598793,73639,87.17,1.9,-0.7
21-04-2022,32,32,31.05,31.55,31.62,33519,147,1059842,27419,81.8,0.95,-0.45
20-04-2022,31.45,32,31.25,31.75,31.79,50406,188,1602368,43475,86.25,0.75,0.3
19-04-2022,33.5,33.5,30.2,31.15,31.84,188769,431,6011092,171079,90.63,3.3,-2.35
18-04-2022,34.8,34.8,32.75,32.95,33.5,83805,310,2807439,71297,85.07,2.05,-1.85
13-04-2022,35.5,35.5,33.5,34.8,34.32,111203,393,3816264,86087,77.41,2,-0.7
12-04-2022,32.7,34.85,31.45,34.7,34.16,358646,783,12250921,279288,77.87,3.4,2
11-04-2022,32.2,33.5,30,31.7,31.48,161101,461,5071056,121295,75.29,3.5,-0.5
08-04-2022,32.5,33.4,32.5,32.85,33.03,31080,150,1026517,25505,82.06,0.9,0.35
07-04-2022,33,33.6,32.55,32.75,33.02,52886,201,1746485,41017,77.56,1.05,-0.25
06-04-2022,33,33.95,32,32.8,32.61,145410,344,4742544,105452,72.52,1.95,-0.2
05-04-2022,34.5,34.5,32.9,33.4,33.47,70673,236,2365289,60097,85.04,1.6,-1.1
04-04-2022,33.5,34.3,32.05,33.45,33.64,117770,356,3961450,93702,79.56,2.25,-0.05
01-04-2022,33.2,33.5,31.9,32.7,32.43,88918,294,2883698,66638,74.94,1.6,-0.5
31-03-2022,34.9,34.9,33.2,33.55,33.67,92426,210,3112434,87030,94.16,1.7,-1.35
30-03-2022,34.3,35.1,33.55,34.9,34.72,105181,246,3652054,91395,86.89,1.55,0.6
29-03-2022,36,36.5,34.1,34.3,35.42,137942,375,4885354,131253,95.15,2.4,-1.7
28-03-2022,34.95,36,33.65,35.4,35.12,288098,434,10119157,288098,100,2.35,0.45
25-03-2022,32.5,35.05,32.5,34.95,34.66,228557,447,7922914,228557,100,2.55,2.45
24-03-2022,33.8,35,32.2,33.65,33.31,112475,398,3745993,112475,100,2.8,-0.15
23-03-2022,34.35,34.35,31.25,33.85,33.69,258588,710,8712921,258588,100,3.1,-0.5
22-03-2022,32.75,32.75,32.5,32.75,32.75,252483,374,8268001,252483,100,0.25,0
21-03-2022,29.75,31.2,29.75,31.2,31.16,143366,276,4466879,143366,100,1.45,1.45
17-03-2022,29.5,30.15,28.75,29.75,29.8,140118,392,4175911,140118,100,1.4,0.25
16-03-2022,27.9,28.75,27,28.75,28.33,69142,171,1958924,69142,100,1.75,0.85
15-03-2022,27.65,28.5,26.65,27.4,27.4,35031,166,959794,35031,100,1.85,-0.25
14-03-2022,28.5,29.5,27.5,28,28.22,49266,191,1390199,49266,100,2,-0.5
11-03-2022,29,29.4,27.6,28.25,28.69,28509,154,817946,28509,100,1.8,-0.75
10-03-2022,27.95,28.85,27.55,28.5,28.09,37350,152,1049325,37350,100,1.3,0.55
09-03-2022,26.5,27.55,26,27.55,26.89,70963,209,1907906,70963,100,1.55,1.05
08-03-2022,25.9,26.8,25.25,26.25,26.06,47476,188,1237299,47476,100,1.55,0.35
07-03-2022,25.75,28,25.7,25.85,26.09,81891,293,2136373,81891,100,2.3,0.1
04-03-2022,27.05,28.5,26.65,27.05,27.54,71914,198,1980695,71914,100,1.85,0
03-03-2022,29.45,29.45,27.75,27.9,28.19,28576,138,805541,28576,100,1.7,-1.55
02-03-2022,27.25,29.2,27.25,29.05,28.8,81505,204,2347546,81505,100,1.95,1.8
28-02-2022,27.8,28.4,26.25,28.25,27.61,37900,140,1046277,37900,100,2.15,0.45
25-02-2022,27.9,28.9,27,27.3,27.87,108963,211,3036411,108963,100,1.9,-0.6
